,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,ind,x_coor,y_coor,y,ols_residual,mgwr_yhat,mgwr_residual,localR2,beta_Intercept,beta_avg_age,beta_avg_basement,beta_avg_sqft,beta_avg_water_dist,beta_avg_unemp,beta_avg_tech,beta_avg_index,se_Intercept,se_avg_age,se_avg_basement,se_avg_sqft,se_avg_water_dist,se_avg_unemp,se_avg_tech,se_avg_index,t_Intercept,t_avg_age,t_avg_basement,t_avg_sqft,t_avg_water_dist,t_avg_unemp,t_avg_tech,t_avg_index,p_Intercept,p_avg_age,p_avg_basement,p_avg_sqft,p_avg_water_dist,p_avg_unemp,p_avg_tech,p_avg_index,sumW_Intercept,sumW_avg_age,sumW_avg_basement,sumW_avg_sqft,sumW_avg_water_dist,sumW_avg_unemp,sumW_avg_tech,sumW_avg_index,w_43,w_164,w_226,w_81,w_354
184,184,184,184,184,164.0,-122.10810359999998,47.55672033,1.7144139074583484,-0.05937704411944944,1.881571535792811,-0.16715762833446246,0.9575177218006576,0.1535964086426182,0.08597539935923873,0.02208316278098117,0.5805657926971571,-0.24698139129803304,-0.06984665213228211,0.0691709656649527,-0.08116553071682459,0.03893129402366331,0.04320065889576899,0.024371291023746758,0.03061278094333436,0.05994594960677899,0.024601051453579468,0.023807197561462767,0.02682051082864896,3.9453198896820334,1.9901409274028232,0.9061137860716492,18.96481713869154,-4.12006804326448,-2.839173450129888,2.9054644288297613,-3.0262485019534284,9.601161801504432e-05,0.04733986835217606,0.3654884898618192,6.222420612326547e-56,4.714733015413956e-05,0.004782683893640685,0.003896340208313999,0.002656281002019533,14.055353178619313,14.61515147166027,35.377778052172424,14.055353178619313,14.055353178619313,90.57813358110788,71.26958941604893,62.74885564347908,0.0017964560840091418,0.5872844120578057,0.6718872566047496,0.2712486666440786,0.8467487392730099
185,185,185,185,185,165.0,-122.1337179,47.56536979,0.9038483905913114,-0.2294410862506523,1.0159165927205698,-0.1120682021292584,0.9569894053672056,0.17645250608299667,0.09688505263620116,0.029872381437645507,0.5983653971144471,-0.32771629543587744,-0.06872945286437443,0.07078439884376495,-0.0843608501146825,0.04012562092687081,0.04215600424696003,0.02503493882087056,0.02811692236976,0.05703190749398542,0.02475305584215215,0.023941161235349413,0.027363513321076328,4.397502194535069,2.298250376592268,1.1932276588086637,21.28132621506238,-5.746192085026059,-2.7766047676155834,2.956598393366606,-3.0829685181436424,1.4480478560991935e-05,0.02212657560016451,0.23357482378084626,2.014747097480223e-65,1.961752922052606e-08,0.00578348522601815,0.003318024007787288,0.002209398211838594,16.236346911771914,16.26833300229114,34.86998611077902,16.236346911771914,16.236346911771914,94.81380773263868,72.63990990648311,61.92111922801193,0.2096047635131074,0.7529228461302689,0.8062463343302592,0.5310031953652261,0.9116690718517703
186,186,186,186,186,166.0,-122.2754749,47.56683441,0.06924824813917389,0.258087337538052,0.05358827685043842,0.015659971288735475,0.978399722216769,0.11215012870037533,0.06105916016297535,-0.06329335558965588,0.6543014462085988,-0.4453466590949085,-0.07535957671489066,0.11438159796907345,-4.553779679052418e-05,0.04532166469203544,0.03599693579154268,0.026556406009889767,0.027608037628270358,0.06006156288777219,0.024940086570347908,0.023686959309723404,0.02716642213660437,2.4745368349208925,1.696232160330739,-2.383355472351381,23.699672356958843,-7.4148363392917265,-3.0216245040820406,4.828884808449022,-0.0016762530068015842,0.013806190754609423,0.0907161094757864,0.017679396496712973,3.398337715167169e-75,8.979332616546895e-13,0.002696145425224598,2.0424276506860427e-06,0.9986634831275828,16.081859109897767,16.288625763011307,33.36366921418673,16.081859109897767,16.081859109897767,119.45162875833229,84.30044264142563,68.88193574860136,0.0,0.504778552556717,0.6030677548352096,0.16503251541341882,0.8119933893457788
187,187,187,187,187,167.0,-122.0082316,47.56780542,0.4596998448129556,0.3369945884015456,0.2886821874843296,0.17101765732862595,0.9067069865314928,0.1738510725295785,0.04991275124825149,-0.00019004793179989169,0.4870657028087613,-0.12982287805799564,-0.06223918178017559,0.058592211020574936,-0.07313048980303592,0.03861290387489027,0.040152379233160264,0.023533337896303737,0.03002105617986725,0.0366712475760793,0.024738046545761942,0.02391209843761664,0.02618076972153568,4.5024086531506065,1.2430832792849926,-0.008075689587142736,16.22413614932701,-3.5401816583594843,-2.5159295284307013,2.450316569808121,-2.793290288286693,9.117250583771588e-06,0.2146552092196796,0.9935611254572944,1.0457228173138283e-44,0.00045293771320295166,0.012311198882439466,0.01475374555140702,0.0054995415721707285,13.790129575437328,14.167913165802007,32.440232709702954,13.790129575437328,13.790129575437328,78.37145120630821,61.9042853810993,53.60987078894894,0.0,0.0,0.01616012845208401,0.0,0.3765597585322121
188,188,188,188,188,168.0,-122.2198994,47.56637726,2.061627196926428,0.11199442495979127,2.28081038012722,-0.21918318320079155,0.9783205800929604,0.16254289001072836,0.1264408521536311,-0.013025068056178271,0.6301211488679144,-0.4932152974652452,-0.07443423037860764,0.09706380079703696,-0.059815819171848826,0.035173067995983125,0.035969531688908304,0.0235628867784162,0.02627045037066631,0.05746586036359413,0.024825613486976462,0.0238057192892112,0.02708859975362116,4.62123150671108,3.5152209722157948,-0.552778960348328,23.98592867564653,-8.582753209376953,-2.9982836241954662,4.077331149621114,-2.208154711424416,5.341433963158599e-06,0.000496127862360209,0.5807616965605116,2.4425898832459793e-76,2.9132364113561976e-16,0.0029058810228356504,5.623456312677998e-05,0.02787037146549179,11.809693734208972,12.361314968543342,33.91032517619959,11.809693734208972,11.809693734208972,110.06842923195299,74.4718913716872,61.52688743469993,0.5279328870720368,0.8710279662745443,0.8996876640579359,0.745092375920381,0.9549456322174779
189,189,189,189,189,172.0,-122.383094,47.5719551,0.3017362118634775,0.042323826402340066,0.22512418062571954,0.07661203123775795,0.9559185408006704,0.13719671392671928,0.06953669434195116,-0.04929607291494119,0.6255568126250346,-0.5125623045079754,-0.07363133240135104,0.1218131228561302,0.07095105001644622,0.04838390864505875,0.04065154585406091,0.02621536657543369,0.04572260625458486,0.0699933584986348,0.025057026394037896,0.02396585558818525,0.03117654504765572,2.8355855855546017,1.7105547373668881,-1.880426610594732,13.681565069626947,-7.323013433024117,-2.9385502989640857,5.082777971681592,2.2757829614536242,0.004835516090761543,0.08803452819948465,0.0608661588673945,1.5571696701544867e-34,1.6320179860520926e-12,0.0035125198585160035,6.021192848200194e-07,0.023452579769098883,12.340587743133453,12.560227962436011,35.321392346445634,12.340587743133453,12.340587743133453,115.51647626665566,87.16928650558535,72.3877397740816,0.0,0.0,0.0,0.0,0.3004745279439131
190,190,190,190,190,288.0,-122.0297136,47.6836617,0.6773251566036236,-0.11186458961906776,0.7688185273607063,-0.09149337075708276,0.8886855959256801,0.175515095250449,0.024810262570029367,-0.021478393820011408,0.4201019317797245,-0.06951469680548636,-0.04731371542099014,0.05140633277813336,-0.056152189782042665,0.04189024014098727,0.04515386186926583,0.0243260648401078,0.03386771761974617,0.03557560018724852,0.025332339055599656,0.0243806168685764,0.029402866394689562,4.189880379289525,0.5494604789699413,-0.8829374566411061,12.40419967168939,-1.9539992702752136,-1.8677199652643817,2.108491883336626,-1.909752233958533,3.523843544278266e-05,0.5830339799178346,0.37786588516302655,1.3016832311766254e-29,0.051483985672397,0.06262256561388124,0.03568670222621232,0.05696857695498761,12.181328441568125,12.878929342978608,36.075612639970366,12.181328441568125,12.181328441568125,100.87972244345477,67.8000846641548,56.79259093768484,0.0,0.0,0.0,0.0,0.20718831483538327
191,191,191,191,191,289.0,-122.326216,47.69653509,0.02070078539715832,0.36846289323771375,-0.04396879554621922,0.06466958094337752,0.9446826554461676,0.2733683394703961,0.1038067891956751,-0.006941494594976175,0.5797507791669871,-0.3187418217547135,-0.05391586075117453,0.08541546907343796,0.002926843289301263,0.06796312862091689,0.03339443018738365,0.028581701127310673,0.05590454323992675,0.09503897080461823,0.02539738264652635,0.02371665925312273,0.03303371802159972,4.0223036375382835,3.108506077606112,-0.2428649912773516,10.370369661708137,-3.3538012781092204,-2.122890437237583,3.6014966594501057,0.08860169138053098,7.04048343055305e-05,0.0020317293141345547,0.8082498539250504,3.4123036862556886e-22,0.0008828416777535107,0.03445266016711866,0.0003613318976212236,0.9294482845175512,14.08970459287953,14.603032709709082,50.39945215232246,14.08970459287953,14.08970459287953,160.49560908753838,117.60555219650443,99.1933034648832,0.0,0.0,0.0,0.0,0.23119598728155055
192,192,192,192,192,173.0,-122.30957279999998,47.57657903,-0.3011588114729743,-0.164782664002615,-0.2696987886637829,-0.031460022809191364,0.9624825757665652,0.15670849627971475,0.03937143123388398,-0.06285821196372934,0.6537151249625617,-0.4009634885352319,-0.07256066065905221,0.1161142989038545,0.04621370382047546,0.05012265165825544,0.03214533166149015,0.026810375275339426,0.0380101085604141,0.06299038769171228,0.02508361999498705,0.023830411059136827,0.030064310583714712,3.12650051613748,1.224794680872764,-2.344548008678836,17.198454561726194,-6.365471038178532,-2.8927507542194237,4.8725260599034055,1.537161602019525,0.0019145500907971039,0.22146239214177715,0.01959912267411848,1.104919200105979e-48,6.000677490060743e-10,0.004053733607209409,1.6615818421127618e-06,0.12514202522689166,15.161469529246805,15.579496806185466,37.06483488397728,15.161469529246805,15.161469529246805,122.17060137898778,90.199259362448,70.77067601269445,0.0,0.1999503623949122,0.32875257032617367,0.0,0.6579865086585359
193,193,193,193,193,176.0,-122.4105583,47.57333678,0.8478974103561122,0.20149515483299707,0.7365840407537134,0.1113133696023988,0.9569509618165458,0.1637897548724041,0.08523688557198161,-0.04462778571143791,0.606629079409335,-0.5507248972362865,-0.07321344184070447,0.121497458630113,0.07295089403385373,0.04842161690089152,0.04012207321231703,0.02629850480959477,0.047859458353304636,0.07020799003946984,0.025058364681204776,0.02400774213572711,0.031158732345191013,3.3825750843398303,2.124438712848339,-1.6969704564784178,12.675218238600225,-7.84419119428825,-2.9217166711448974,5.060761563633534,2.3412664297658066,0.0007979360988296331,0.03432217001375377,0.09057628550866376,1.2144359347922571e-30,5.133266849421218e-14,0.003703261097279643,6.707234611175303e-07,0.01976954424499081,10.710699081858518,11.148834849764777,31.862624513038085,10.710699081858518,10.710699081858518,111.40270857802874,82.67225783099484,69.3684443519429,0.0,0.0,0.0,0.0,0.17240507738022676
194,194,194,194,194,177.0,-122.0867687,47.56737859,0.9057948261229544,-0.13565421339130368,0.8701729125513158,0.035621913571638686,0.9470033461408752,0.17912066223900264,0.07791773171897991,0.016266613903637747,0.5584332397383436,-0.2231097236042615,-0.06472194599154862,0.06370659793614165,-0.07983072077621224,0.03934892379156064,0.04096584823564007,0.023978994913292608,0.03022332769996698,0.05904879404850484,0.024818186591251214,0.02397054110112756,0.02672407089072313,4.552110832505655,1.9020168036259992,0.6783692962301955,18.47689457898289,-3.778395938467279,-2.6078434761371354,2.6577037901386773,-2.9872215615145787,7.300150974694389e-06,0.0579758567250707,0.4979782785517925,6.288724104070737e-54,0.00018497489235426141,0.009495017826797295,0.00822218316500619,0.003010415946291278,14.633979155429115,15.4600407115495,36.1975888943366,14.633979155429115,14.633979155429115,87.78606102264817,70.28290187054819,62.92853240494031,0.0,0.3793989787330131,0.4950949022756374,0.04510964052329887,0.7548479162355716
195,195,195,195,195,178.0,-122.0193633,47.57981998,0.5042656121411174,-0.03033458878073358,0.4891518928679071,0.015113719273210369,0.9098732798852388,0.17958704989457014,0.05483922842389419,0.00042930657800535637,0.4860511148907621,-0.14937461909674146,-0.05920413528925012,0.057420621616864176,-0.07339371028831848,0.03847823459540901,0.03958565106629427,0.023310286390844672,0.02983942876333713,0.039975510681029225,0.024969839637122977,0.0240485068498212,0.026451133943614626,4.667237251991738,1.385330970862515,0.018417044338587384,16.288888059678925,-3.736653179708562,-2.3710258515729747,2.38770007532884,-2.7746905083453304,4.329502803325399e-06,0.16681865507281282,0.9853164727394,5.702388786620717e-45,0.00021714795702044542,0.018270560808738897,0.017475134931498545,0.005816895668995091,15.301293923144858,16.268830814543666,35.369520907017844,15.301293923144858,15.301293923144858,79.57900525041916,64.00655633781014,54.66741501705701,0.0,0.0,0.04158520535017421,0.0,0.41943622579004936
196,196,196,196,196,179.0,-121.9635551,47.55278112,0.6759498249852011,0.4829030084887898,0.3938167086000879,0.2821331163851131,0.9081598557283312,0.1498213966169527,0.04359607325523626,-0.0066913994287976005,0.4746405814507947,-0.104397718532931,-0.06613256031270805,0.059971218606384574,-0.07028521083817726,0.03788826791623786,0.040582629590005095,0.023552396776330368,0.03025996597787747,0.03401205775395681,0.024392338136195502,0.023647155287772417,0.02564723807024384,3.9542952174053694,1.0742545196226845,-0.28410694216574617,15.685430109134824,-3.0694325902932422,-2.7112021792849257,2.536085963684384,-2.740459251233092,9.262464327666096e-05,0.2834361955861214,0.7764935979701226,1.6003264740725727e-42,0.002309265432344085,0.007028916402991224,0.011636755320208988,0.006444602529086381,11.266788309431872,11.658906990412445,27.34419520172242,11.266788309431872,11.266788309431872,72.54990618690914,57.91129287697014,48.53507420607538,0.0,0.0,0.0,0.0,0.17147295306986934
197,197,197,197,197,180.0,-122.2173275,47.5811482,1.9969396435557485,0.28162568712554914,2.129676040296905,-0.13273639674115656,0.9747566061489354,0.2523309674823295,0.17151885331401714,-0.01337506501097185,0.6165361472734363,-0.5287815954973623,-0.0692242291739708,0.08841769236509371,-0.06366054096235366,0.03720205034762277,0.03831233013813979,0.024216339054244532,0.02402389768735495,0.058272131506138074,0.02498099374844048,0.024113056731763616,0.02779142587609099,6.782716681594232,4.476857781700695,-0.5523157311686024,25.663452088290896,-9.074347922928874,-2.7710758775676156,3.666797343392096,-2.290654004086956,4.926584860195424e-11,1.0213014111781376e-05,0.5810786360375406,5.6981463963472165e-83,7.924300715142797e-18,0.005880460357922357,0.00028306584112594726,0.02256738842857116,10.874294797718413,11.705244477868641,32.920213730575036,10.874294797718413,10.874294797718413,111.26680798901155,71.43297859934171,58.470235126953405,0.3474142574066393,0.8096749796881217,0.8513572147306748,0.6313060160345162,0.9327328131068733
198,198,198,198,198,181.0,-122.0599505,47.58155386,1.0715781445586572,-0.3684890637204768,1.0671249707819668,0.004453173776690411,0.925918783223564,0.1825721506990944,0.06805227721634557,0.007755457654604181,0.5145546191759873,-0.1949310963149604,-0.05962367643723902,0.05899394212053311,-0.07696951229850027,0.03895724391602271,0.0394562842001905,0.023426491663712308,0.0294827819244429,0.04909941766110841,0.0250426712316042,0.024111489356149342,0.02665827160314845,4.6864750261248425,1.7247512936359328,0.33105501950244665,17.45271597825009,-3.970130514793561,-2.3808832486685017,2.4467149767953846,-2.8872656653933206,3.9634811225030285e-06,0.08544024918766048,0.7407977005000712,1.0045227419115623e-49,8.6923567833124e-05,0.01779656374844385,0.014899458202248306,0.0041234105681556815,15.973055241668133,17.256641358611027,38.119665679923436,15.973055241668133,15.973055241668133,84.95287262039749,68.6874657964674,60.79763536128666,0.0,0.13697979924658177,0.2641029282459577,0.0,0.6159821741548221
199,199,199,199,199,182.0,-122.1131856,47.58066085,1.2925179814328018,-0.028064375652576246,1.2743440998756284,0.01817388155717348,0.9472706541096196,0.20327602814989745,0.09574839392924864,0.02055061999064238,0.5811081082356251,-0.28740979180984016,-0.06255382920903117,0.06322922395868008,-0.08327109787705347,0.0414984684640513,0.0392101810275633,0.02405215591837203,0.02931835207887265,0.06102881666256268,0.02496863870038977,0.024162025995538898,0.027274523294070697,4.89839831862683,2.4419268521596744,0.8544190408704679,19.820626571108765,-4.709411185194222,-2.5052959418270038,2.6168841954873434,-3.05307253143288,1.4692046681885333e-06,0.015095146321437913,0.3934474416129409,1.9053368205110357e-59,3.565940294784903e-06,0.012680833645181695,0.009251887688319744,0.002435504721592605,15.712949294570956,17.50674357685265,38.214792612221096,15.712949294570956,15.712949294570956,94.79278575973608,71.97682944528609,63.14716159806361,0.0,0.5453285979436109,0.637077384818021,0.21495847365457055,0.8293126301665777
200,200,200,200,200,183.0,-122.28308,47.58197536,0.9579617014096764,-0.036039013798382924,1.0376461350374704,-0.07968443362779387,0.9729627925278922,0.2072565617752093,0.050800581904489724,-0.061345226329674075,0.6194463200229414,-0.4751976491439828,-0.07085871700751603,0.10925224123698864,0.019690974861238927,0.048791241327857934,0.031158197553451193,0.026729314440654687,0.029832203093244882,0.06363388401997533,0.02509875420452671,0.023856045064358268,0.0287891517515854,4.247823095594694,1.6304082358211658,-2.295054235897998,20.764350460030453,-7.467682610648335,-2.823196579005353,4.579645995061234,0.6839720402722376,2.759048851034717e-05,0.1038996234095678,0.02231112081754539,2.5982518550820876e-63,6.351584178271093e-13,0.005022049439464121,6.448859481725531e-06,0.4944377881381339,15.55990578403696,16.75594908915478,33.011539402792906,15.55990578403696,15.55990578403696,122.353724141055,86.08686742658571,67.53936484579515,0.0,0.38888849966934264,0.5034436294617843,0.052025244217431973,0.7593985624521261
