the_geom,longitude,the_geom_webmercator,avg_tech,latitude,houses,avg_unemp,cartodb_id,avg_index,avg_price,avg_basement,avg_sqft,avg_water_dist,avg_age,ind
0101000020E61000003EB0E3BF40865EC0D66F68C2DDB84740,-122.097702,0101000020110F0000AEF96FC0A5EC69C1BBDAED6FEBF15641,0.15,47.44426756,47,5.7,84,0.61,476537.23,0.34,2777.45,0.46,29.74,84
0101000020E6100000AC3C81B0D38A5EC09769E2BA35BA4740,-122.1691705,0101000020110F00001EE8383B88F069C12B077F6F9BF35641,0.1,47.45476471,54,5.55,85,0.54,278279.17,0.48,1661.11,0.7,49.24,85
0101000020E610000038FF0AF464935EC032A8DB7E9EB94740,-122.3030367,0101000020110F000095C292F8CEF769C131F7AF7CDDF25641,0.1,47.4501494,32,5.92,86,0.51,265746.56,0.16,1577.72,1.02,50.78,86
0101000020E6100000DDC4DA29678C5EC051E58B2833BA4740,-122.1937966,0101000020110F00008444E6E6DEF169C11CCF983498F35641,0.12,47.45468623,36,5.78,87,0.51,272297.22,0.33,1539.25,0.93,38.39,87
0101000020E6100000EB1D6E8786975EC04D6D6767EAB94740,-122.367586,0101000020110F000043B29E2B51FB69C151A72BD33CF35641,0.14,47.45246594,59,5.91,88,0.56,580547.71,0.63,2279.34,0.1,58.69,88
0101000020E61000003136BE405A885EC0E5DE91EB05BA4740,-122.1305086,0101000020110F0000C5B7E2406EEE69C19BC69E625FF35641,0.12,47.45330567,90,5.65,89,0.59,374382.31,0.23,2251.82,0.4,27.57,89
0101000020E61000003A8D599B6B8D5EC0EDB3D2BD31BA4740,-122.2096928,0101000020110F00008B4EB818BCF269C1D686006D96F35641,0.15,47.45464299,50,5.9,90,0.43,350661,0.48,2119.4,0.96,33.84,90
0101000020E6100000FF2268CC24935EC0CB70D103FEBB4740,-122.299121,0101000020110F0000B852F97B98F769C18BC7D09FD8F55641,0.1,47.46868942,7,6.15,91,0.51,233307.14,0.43,1574.29,0.89,66.71,91
0101000020E61000003E682C5041965EC05268D5BE6BBB4740,-122.3477364,0101000020110F00009C7CE7F63CFA69C16999E4DC20F55641,0.12,47.46422563,64,5.79,92,0.57,305402.89,0.38,1550.94,0.27,61.31,92
0101000020E6100000BEFD1422BB945EC0FA3EE278BABB4740,-122.3239217,0101000020110F0000CA889D95F1F869C1C2A85AC483F55641,0.08,47.46662818,9,5.76,93,0.52,291766.67,0.33,1631.11,0.58,65.33,93
